team_name,final_elo
Miami Heat,1766.874387273828
Oklahoma City Thunder,1750.3356692975635
Denver Nuggets,1709.7060818835514
San Antonio Spurs,1661.8603016008453
Memphis Grizzlies,1659.2860249039145
Los Angeles Clippers,1653.8140772314216
New York Knicks,1633.6453161596198
Indiana Pacers,1596.2245720488895
Houston Rockets,1585.6104526049892
Los Angeles Lakers,1576.8664024272196
Brooklyn Nets,1560.5366798329867
Golden State Warriors,1549.6644235809097
Dallas Mavericks,1540.4769974858207
Chicago Bulls,1539.146419877983
Utah Jazz,1527.249656149146
Atlanta Hawks,1502.090790649821
Boston Celtics,1489.5774510287167
Toronto Raptors,1460.9185380784504
Minnesota Timberwolves,1434.2520894049092
Milwaukee Bucks,1431.2584146134889
Washington Wizards,1430.9677843825139
Philadelphia 76ers,1427.6174121714894
Sacramento Kings,1398.2865712240239
Portland Trail Blazers,1390.825468340771
New Orleans Pelicans,1382.8304877017365
Detroit Pistons,1355.973730268185
Phoenix Suns,1331.7687622302824
Cleveland Cavaliers,1299.7573168659785
Charlotte Hornets,1253.4200962717512
Orlando Magic,1249.157624409194
